1737879374.0180526 CAN0, ID=0x1db, DLC=8, 0xff, 0xe0, 0xaa, 0x2b, 0x51, 0x0, 0x0, 0xd2
1737879374.019053 CAN0, ID=0x1dc, DLC=8, 0x64, 0xd, 0xf, 0xfd, 0x1, 0x10, 0xe1, 0x6e
1737879374.0200436 CAN0, ID=0x5bc, DLC=8, 0x32, 0x80, 0xf0, 0x64, 0xc9, 0x0, 0x1f, 0xff
1737879374.0379968 CAN0, ID=0x1db, DLC=8, 0xff, 0xe0, 0xaa, 0x2b, 0x51, 0x0, 0x1, 0x57
1737879374.0399914 CAN0, ID=0x1dc, DLC=8, 0x64, 0xd, 0xf, 0xfd, 0x4, 0xc4, 0xc6, 0x16
1737879374.0409915 CAN0, ID=0x5bc, DLC=8, 0x32, 0x80, 0xf0, 0x64, 0xc9, 0x0, 0xa0, 0x2d
1737879374.0559504 CAN0, ID=0x1db, DLC=8, 0xff, 0xe0, 0xaa, 0x2b, 0x51, 0x0, 0x2, 0x5d
1737879374.0569499 CAN0, ID=0x1dc, DLC=8, 0x64, 0xd, 0xf, 0xfd, 0x8, 0xc0, 0xc3, 0x74
1737879374.0579436 CAN0, ID=0x5bc, DLC=8, 0x32, 0x80, 0xf0, 0x64, 0xc9, 0x1, 0x0, 0x53
1737879374.0639305 CAN0, ID=0x1db, DLC=8, 0xff, 0xe0, 0xaa, 0x2b, 0x51, 0x0, 0x3, 0xd8
1737879374.0649238 CAN0, ID=0x1dc, DLC=8, 0x64, 0xd, 0xf, 0xfd, 0xc, 0xdc, 0xc4, 0xb5
1737879374.0659232 CAN0, ID=0x5bc, DLC=8, 0x32, 0x80, 0xf0, 0x64, 0xc9, 0x1, 0x60, 0x16
1737879374.0739007 CAN0, ID=0x1db, DLC=8, 0xff, 0xe0, 0xaa, 0x2b, 0x51, 0x0, 0x0, 0xd2
1737879374.0748987 CAN0, ID=0x1dc, DLC=8, 0x64, 0xd, 0xf, 0xfd, 0x1, 0x10, 0xe1, 0x6e
1737879374.075897 CAN0, ID=0x5bc, DLC=8, 0x32, 0x80, 0xf0, 0x64, 0xc9, 0x2, 0x40, 0x6
1737879374.0848708 CAN0, ID=0x1db, DLC=8, 0xff, 0xe0, 0xaa, 0x2b, 0x51, 0x0, 0x1, 0x57
1737879374.0858693 CAN0, ID=0x1dc, DLC=8, 0x64, 0xd, 0xf, 0xfd, 0x4, 0xc4, 0xc6, 0x16
1737879374.086868 CAN0, ID=0x5bc, DLC=8, 0x32, 0x80, 0xf0, 0x64, 0xc9, 0x2, 0xa0, 0xb
1737879374.0928507 CAN0, ID=0x1db, DLC=8, 0xff, 0xe0, 0xaa, 0x2b, 0x51, 0x0, 0x2, 0x5d
1737879374.0938478 CAN0, ID=0x1dc, DLC=8, 0x64, 0xd, 0xf, 0xfd, 0x8, 0xc0, 0xc3, 0x74
1737879374.0948443 CAN0, ID=0x5bc, DLC=8, 0x32, 0x80, 0xbd, 0x64, 0xc8, 0x3, 0x0, 0x14
1737879374.1078527 CAN0, ID=0x1db, DLC=8, 0xff, 0xe0, 0xaa, 0x2b, 0x51, 0x0, 0x3, 0xd8
1737879374.1108398 CAN0, ID=0x1dc, DLC=8, 0x64, 0xd, 0xf, 0xfd, 0xc, 0xdc, 0xc4, 0xb5
1737879374.111798 CAN0, ID=0x5bc, DLC=8, 0x32, 0x80, 0xbd, 0x64, 0xc8, 0x0, 0x1f, 0xff
1737879374.1157887 CAN0, ID=0x1db, DLC=8, 0xff, 0xe0, 0xaa, 0x2b, 0x51, 0x0, 0x0, 0xd2
