1737880060.2685592 CAN0, ID=0x1db, DLC=8, 0xff, 0xe0, 0xaa, 0x2b, 0xe, 0x0, 0x0, 0xa0
1737880060.2705548 CAN0, ID=0x1dc, DLC=8, 0x64, 0xd, 0xf, 0xfd, 0x1, 0x10, 0xe1, 0x6e
1737880060.289504 CAN0, ID=0x1db, DLC=8, 0xff, 0xe0, 0xaa, 0x2b, 0xe, 0x0, 0x1, 0x25
1737880060.2905009 CAN0, ID=0x1dc, DLC=8, 0x64, 0xd, 0xf, 0xfd, 0x4, 0xc4, 0xc6, 0x16
1737880060.3044631 CAN0, ID=0x1db, DLC=8, 0xff, 0xe0, 0xaa, 0x2b, 0xe, 0x0, 0x2, 0x2f
1737880060.3054605 CAN0, ID=0x1dc, DLC=8, 0x64, 0xd, 0xf, 0xfd, 0x8, 0xc0, 0xc3, 0x74
1737880060.3124409 CAN0, ID=0x1db, DLC=8, 0xff, 0xe0, 0xaa, 0x2b, 0xe, 0x0, 0x3, 0xaa
1737880060.3144372 CAN0, ID=0x1dc, DLC=8, 0x64, 0xd, 0xf, 0xfd, 0xc, 0xdc, 0xc4, 0xb5
1737880060.3224154 CAN0, ID=0x1db, DLC=8, 0xff, 0xe0, 0xaa, 0x2b, 0xe, 0x0, 0x0, 0xa0
1737880060.3244104 CAN0, ID=0x1dc, DLC=8, 0x64, 0xd, 0xf, 0xfd, 0x1, 0x10, 0xe1, 0x6e
1737880060.333388 CAN0, ID=0x1db, DLC=8, 0xff, 0xe0, 0xaa, 0x2b, 0xe, 0x0, 0x1, 0x25
1737880060.335381 CAN0, ID=0x1dc, DLC=8, 0x64, 0xd, 0xf, 0xfd, 0x4, 0xc4, 0xc6, 0x16
1737880060.3423617 CAN0, ID=0x1db, DLC=8, 0xff, 0xe0, 0xaa, 0x2b, 0xe, 0x0, 0x2, 0x2f
1737880060.3443563 CAN0, ID=0x1dc, DLC=8, 0x64, 0xd, 0xf, 0xfd, 0x8, 0xc0, 0xc3, 0x74
1737880060.3583193 CAN0, ID=0x1db, DLC=8, 0xff, 0xe0, 0xaa, 0x2b, 0xe, 0x0, 0x3, 0xaa
1737880060.3603137 CAN0, ID=0x1dc, DLC=8, 0x64, 0xd, 0xf, 0xfd, 0xc, 0xdc, 0xc4, 0xb5
