1737880060.1787834 CAN1, ID=0x679, DLC=1, 0x0, 0x0, 0x0, 0x0, 0x0, 0x0, 0x0, 0x0
1737880060.1817741 CAN1, ID=0x605, DLC=1, 0x0, 0x0, 0x0, 0x0, 0x0, 0x0, 0x0, 0x0
1737880060.1940029 CAN1, ID=0x607, DLC=1, 0x0, 0x0, 0x0, 0x0, 0x0, 0x0, 0x0, 0x0
1737880060.2009535 CAN1, ID=0x603, DLC=1, 0x0, 0x0, 0x0, 0x0, 0x0, 0x0, 0x0, 0x0
1737880060.2210333 CAN1, ID=0x68c, DLC=1, 0x0, 0x0, 0x0, 0x0, 0x0, 0x0, 0x0, 0x0
1737880060.2270887 CAN1, ID=0x390, DLC=8, 0x4, 0x0, 0x0, 0x0, 0x0, 0x80, 0x21, 0xb
1737880060.2277198 CAN1, ID=0x393, DLC=8, 0x0, 0x10, 0x0, 0x0, 0x20, 0x0, 0x0, 0x2
1737880060.2323842 CAN1, ID=0x50b, DLC=7, 0x0, 0x0, 0x0, 0xc0, 0x0, 0x0, 0x0, 0x2
1737880060.2395737 CAN1, ID=0x1f2, DLC=8, 0x4, 0x64, 0x4, 0xa0, 0x0, 0x2, 0x1, 0x1
1737880060.2405772 CAN1, ID=0x1d4, DLC=8, 0x6e, 0x6e, 0x0, 0x0, 0x42, 0x6, 0xe0, 0xd
1737880060.2441285 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x80, 0x55, 0x0, 0x0, 0x1, 0xa
1737880060.250677 CAN1, ID=0x54a, DLC=8, 0xa0, 0x80, 0x70, 0x2, 0x0, 0x0, 0x0, 0x2a
1737880060.2516627 CAN1, ID=0x1d4, DLC=8, 0x6e, 0x6e, 0x0, 0x0, 0x82, 0x6, 0xe0, 0xc1
1737880060.252658 CAN1, ID=0x1f2, DLC=8, 0x4, 0x64, 0x4, 0xa0, 0x0, 0x4, 0x2, 0x4
1737880060.253656 CAN1, ID=0x54b, DLC=8, 0x10, 0x8, 0x80, 0x0, 0x4, 0x0, 0x0, 0x0
1737880060.2546573 CAN1, ID=0x54f, DLC=8, 0x14, 0x0, 0x0, 0x0, 0x4, 0x40, 0xc0, 0x14
1737880060.255587 CAN1, ID=0x481, DLC=2, 0x32, 0x0, 0x0, 0x0, 0x4, 0x40, 0xc0, 0x14
1737880060.2576256 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x80, 0x55, 0x40, 0x0, 0x2, 0xc7
1737880060.2596223 CAN1, ID=0x1f2, DLC=8, 0x4, 0x64, 0x4, 0xa0, 0x0, 0x4, 0x3, 0x5
1737880060.2615814 CAN1, ID=0x1d4, DLC=8, 0x6e, 0x6e, 0x0, 0x0, 0xc2, 0x6, 0xe0, 0x6
1737880060.2625751 CAN1, ID=0x50b, DLC=7, 0x0, 0x0, 0x0, 0xc0, 0x0, 0x0, 0x0, 0x6
1737880060.263571 CAN1, ID=0x5a9, DLC=8, 0xff, 0xff, 0xfd, 0xff, 0xff, 0xf8, 0x0, 0x0
1737880060.2665641 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x80, 0xaa, 0x80, 0x0, 0x3, 0xd1
1737880060.2725482 CAN1, ID=0x1f2, DLC=8, 0x4, 0x64, 0x4, 0xa0, 0x0, 0x4, 0x0, 0x2
1737880060.273546 CAN1, ID=0x56e, DLC=1, 0x46, 0x64, 0x4, 0xa0, 0x0, 0x4, 0x0, 0x2
1737880060.2745428 CAN1, ID=0x1d4, DLC=8, 0x6e, 0x6e, 0x0, 0x0, 0x2, 0x6, 0xe0, 0xca
1737880060.2755396 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x80, 0xaa, 0xc0, 0x0, 0x0, 0x1c
1737880060.280527 CAN1, ID=0x1f2, DLC=8, 0x4, 0x64, 0x4, 0xa0, 0x0, 0x4, 0x1, 0x3
1737880060.2815247 CAN1, ID=0x1d4, DLC=8, 0x6e, 0x6e, 0x0, 0x0, 0x42, 0x6, 0xe0, 0xd
