1737880438.3323543 CAN0, ID=0x1db, DLC=8, 0xff, 0xe0, 0xaa, 0x2b, 0xd, 0x0, 0x0, 0x28
1737880438.3343475 CAN0, ID=0x1dc, DLC=8, 0x7, 0x0, 0xaf, 0xfd, 0x1, 0x10, 0xe1, 0xca
1737880438.3413289 CAN0, ID=0x1db, DLC=8, 0xff, 0xe0, 0xaa, 0x2b, 0xd, 0x0, 0x1, 0xad
1737880438.3423262 CAN0, ID=0x1dc, DLC=8, 0x7, 0x0, 0xaf, 0xfd, 0x4, 0xc4, 0xc6, 0xb2
1737880438.360283 CAN0, ID=0x1db, DLC=8, 0xff, 0xe0, 0xaa, 0x2b, 0xd, 0x0, 0x2, 0xa7
1737880438.361285 CAN0, ID=0x1dc, DLC=8, 0x7, 0x0, 0xaf, 0xfd, 0x8, 0xc0, 0xc3, 0xd0
1737880438.3712506 CAN0, ID=0x1db, DLC=8, 0xff, 0xe0, 0xaa, 0x2b, 0xd, 0x0, 0x3, 0x22
1737880438.372247 CAN0, ID=0x1dc, DLC=8, 0x7, 0x0, 0xaf, 0xfd, 0xc, 0xdc, 0xc4, 0x11
1737880438.3822222 CAN0, ID=0x1db, DLC=8, 0xff, 0xe0, 0xaa, 0x2b, 0xd, 0x0, 0x0, 0x28
1737880438.3832614 CAN0, ID=0x1dc, DLC=8, 0x7, 0x0, 0xaf, 0xfd, 0x1, 0x10, 0xe1, 0xca
1737880438.39124 CAN0, ID=0x1db, DLC=8, 0xff, 0xe0, 0xaa, 0x2b, 0xd, 0x0, 0x1, 0xad
1737880438.3921945 CAN0, ID=0x1dc, DLC=8, 0x7, 0x0, 0xaf, 0xfd, 0x4, 0xc4, 0xc6, 0xb2
1737880438.4011698 CAN0, ID=0x1db, DLC=8, 0xff, 0xe0, 0xaa, 0x2b, 0xd, 0x0, 0x2, 0xa7
1737880438.4041657 CAN0, ID=0x1dc, DLC=8, 0x7, 0x0, 0xaf, 0xfd, 0x8, 0xc0, 0xc3, 0xd0
1737880438.4131415 CAN0, ID=0x1db, DLC=8, 0xff, 0xe0, 0xaa, 0x2b, 0xd, 0x0, 0x3, 0x22
1737880438.4141347 CAN0, ID=0x1dc, DLC=8, 0x7, 0x0, 0xaf, 0xfd, 0xc, 0xdc, 0xc4, 0x11
1737880438.4261062 CAN0, ID=0x1db, DLC=8, 0xff, 0xe0, 0xaa, 0x2b, 0xd, 0x0, 0x0, 0x28
1737880438.4280994 CAN0, ID=0x1dc, DLC=8, 0x7, 0x0, 0xaf, 0xfd, 0x1, 0x10, 0xe1, 0xca
1737880438.4405832 CAN0, ID=0x1db, DLC=8, 0xff, 0xe0, 0xaa, 0x2b, 0xd, 0x0, 0x1, 0xad
1737880438.4415796 CAN0, ID=0x1dc, DLC=8, 0x7, 0x0, 0xaf, 0xfd, 0x4, 0xc4, 0xc6, 0xb2
1737880438.4495337 CAN0, ID=0x1db, DLC=8, 0xff, 0xe0, 0xaa, 0x2b, 0xd, 0x0, 0x2, 0xa7
1737880438.4505322 CAN0, ID=0x1dc, DLC=8, 0x7, 0x0, 0xaf, 0xfd, 0x8, 0xc0, 0xc3, 0xd0
1737880438.4545238 CAN0, ID=0x55b, DLC=8, 0x26, 0x0, 0xaa, 0x0, 0x0, 0x0, 0x30, 0xab
1737880438.4615414 CAN0, ID=0x1db, DLC=8, 0xff, 0xe0, 0xff, 0xeb, 0xf, 0x0, 0x3, 0xc8
1737880438.463535 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x5, 0x4f, 0xfd, 0xc, 0xdc, 0xc4, 0xab
1737880438.4726708 CAN0, ID=0x1db, DLC=8, 0xff, 0xe0, 0xff, 0xeb, 0xf, 0x0, 0x0, 0xc2
1737880438.4746275 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x5, 0x4f, 0xfd, 0x1, 0x10, 0xe1, 0x70
1737880438.482605 CAN0, ID=0x1db, DLC=8, 0xff, 0xe0, 0xff, 0xeb, 0xf, 0x0, 0x1, 0x47
1737880438.4836018 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x5, 0x4f, 0xfd, 0x4, 0xc4, 0xc6, 0x8
1737880438.4935777 CAN0, ID=0x1db, DLC=8, 0xff, 0xe0, 0xff, 0xeb, 0xf, 0x0, 0x2, 0x4d
1737880438.4945772 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x5, 0x4f, 0xfd, 0x8, 0xc0, 0xc3, 0x6a
1737880438.5048604 CAN0, ID=0x1db, DLC=8, 0xff, 0xe0, 0xff, 0xeb, 0xf, 0x0, 0x3, 0xc8
1737880438.5060165 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x5, 0x4f, 0xfd, 0xc, 0xdc, 0xc4, 0xab
1737880438.5144174 CAN0, ID=0x1db, DLC=8, 0xff, 0xe0, 0xff, 0xeb, 0xf, 0x0, 0x0, 0xc2
1737880438.5154128 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x5, 0x4f, 0xfd, 0x1, 0x10, 0xe1, 0x70
1737880438.5273893 CAN0, ID=0x1db, DLC=8, 0xff, 0xe0, 0xff, 0xeb, 0xf, 0x0, 0x1, 0x47
1737880438.5283806 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x5, 0x4f, 0xfd, 0x4, 0xc4, 0xc6, 0x8
1737880438.5333674 CAN0, ID=0x1db, DLC=8, 0xff, 0xe0, 0xff, 0xeb, 0xf, 0x0, 0x2, 0x4d
1737880438.5343676 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x5, 0x4f, 0xfd, 0x8, 0xc0, 0xc3, 0x6a
1737880438.5453372 CAN0, ID=0x1db, DLC=8, 0xff, 0xe0, 0xff, 0xeb, 0xf, 0x0, 0x3, 0xc8
1737880438.54733 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x5, 0x4f, 0xfd, 0xc, 0xdc, 0xc4, 0xab
1737880438.5543091 CAN0, ID=0x1db, DLC=8, 0xff, 0xe0, 0xff, 0xeb, 0xf, 0x0, 0x0, 0xc2
1737880438.5553079 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x5, 0x4f, 0xfd, 0x1, 0x10, 0xe1, 0x70
1737880438.561293 CAN0, ID=0x55b, DLC=8, 0x26, 0x0, 0xaa, 0x0, 0x0, 0x0, 0x31, 0x2e
1737880438.566278 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0xf, 0x0, 0x1, 0x7
1737880438.5682733 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x0, 0xf, 0xfd, 0x4, 0xc4, 0xc6, 0x3
1737880438.5842307 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0xf, 0x0, 0x2, 0xd
1737880438.587224 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x0, 0xf, 0xfd, 0x8, 0xc0, 0xc3, 0x61
1737880438.5952032 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0xf, 0x0, 0x3, 0x88
1737880438.5961978 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x0, 0xf, 0xfd, 0xc, 0xdc, 0xc4, 0xa0
1737880438.610161 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0xf, 0x0, 0x0, 0x82
1737880438.6121569 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x0, 0xf, 0xfd, 0x1, 0x10, 0xe1, 0x7b
1737880438.6191423 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0xf, 0x0, 0x1, 0x7
1737880438.6211317 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x0, 0xf, 0xfd, 0x4, 0xc4, 0xc6, 0x3
1737880438.6291103 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0xf, 0x0, 0x2, 0xd
1737880438.6311052 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x0, 0xf, 0xfd, 0x8, 0xc0, 0xc3, 0x61
1737880438.6410868 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0xf, 0x0, 0x3, 0x88
1737880438.6420796 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x0, 0xf, 0xfd, 0xc, 0xdc, 0xc4, 0xa0
1737880438.6500552 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0xf, 0x0, 0x0, 0x82
1737880438.6530514 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x0, 0xf, 0xfd, 0x1, 0x10, 0xe1, 0x7b
1737880438.6610281 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0xf, 0x0, 0x1, 0x7
1737880438.6630197 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x0, 0xf, 0xfd, 0x4, 0xc4, 0xc6, 0x3
1737880438.671996 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0xf, 0x0, 0x2, 0xd
1737880438.6759856 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x0, 0xf, 0xfd, 0x8, 0xc0, 0xc3, 0x61
1737880438.6779804 CAN0, ID=0x55b, DLC=8, 0x26, 0x0, 0xaa, 0x0, 0x0, 0x0, 0x32, 0x24
1737880438.6849618 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0xf, 0x0, 0x3, 0x88
1737880438.6869614 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x0, 0xf, 0xfd, 0xc, 0xdc, 0xc4, 0xa0
1737880438.6989238 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0xf, 0x0, 0x0, 0x82
1737880438.700918 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x0, 0xf, 0xfd, 0x1, 0x10, 0xe1, 0x7b
1737880438.713884 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0xf, 0x0, 0x1, 0x7
1737880438.7158773 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x0, 0xf, 0xfd, 0x4, 0xc4, 0xc6, 0x3
1737880438.7228603 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0xf, 0x0, 0x2, 0xd
1737880438.7238586 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x0, 0xf, 0xfd, 0x8, 0xc0, 0xc3, 0x61
1737880438.7328324 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0xf, 0x0, 0x3, 0x88
1737880438.7338293 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x0, 0xf, 0xfd, 0xc, 0xdc, 0xc4, 0xa0
1737880438.7428055 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0xf, 0x0, 0x0, 0x82
1737880438.743842 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x0, 0xf, 0xfd, 0x1, 0x10, 0xe1, 0x7b
1737880438.752783 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0xf, 0x0, 0x1, 0x7
1737880438.753787 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x0, 0xf, 0xfd, 0x4, 0xc4, 0xc6, 0x3
1737880438.762753 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0xf, 0x0, 0x2, 0xd
1737880438.7637534 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x0, 0xf, 0xfd, 0x8, 0xc0, 0xc3, 0x61
1737880438.7717295 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0xf, 0x0, 0x3, 0x88
1737880438.7747219 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x0, 0xf, 0xfd, 0xc, 0xdc, 0xc4, 0xa0
1737880438.7797084 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0xf, 0x0, 0x0, 0x82
1737880438.781702 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x0, 0xf, 0xfd, 0x1, 0x10, 0xe1, 0x7b
1737880438.783736 CAN0, ID=0x55b, DLC=8, 0x26, 0x0, 0xaa, 0x0, 0x0, 0x0, 0x33, 0xa1
1737880438.793674 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0xf, 0x0, 0x1, 0x7
1737880438.793674 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x0, 0xf, 0xfd, 0x4, 0xc4, 0xc6, 0x3
1737880438.80464 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0xf, 0x0, 0x2, 0xd
1737880438.8076365 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x0, 0xf, 0xfd, 0x8, 0xc0, 0xc3, 0x61
1737880438.813658 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0xf, 0x0, 0x3, 0x88
1737880438.814615 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x0, 0xf, 0xfd, 0xc, 0xdc, 0xc4, 0xa0
1737880438.8176472 CAN0, ID=0x59e, DLC=8, 0x0, 0x0, 0xc, 0x0, 0xf0, 0x0, 0x0, 0x0
1737880438.819607 CAN0, ID=0x5c0, DLC=8, 0x40, 0x0, 0x3c, 0x0, 0x65, 0x18, 0x1, 0xf
1737880438.8245916 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0xf, 0x0, 0x0, 0x82
1737880438.8255856 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x0, 0xf, 0xfd, 0x1, 0x10, 0xe1, 0x7b
1737880438.833565 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0xf, 0x0, 0x1, 0x7
1737880438.8345993 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x0, 0xf, 0xfd, 0x4, 0xc4, 0xc6, 0x3
1737880438.8435366 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0xf, 0x0, 0x2, 0xd
1737880438.8455338 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x0, 0xf, 0xfd, 0x8, 0xc0, 0xc3, 0x61
1737880438.8535144 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0xf, 0x0, 0x3, 0x88
1737880438.8555095 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x0, 0xf, 0xfd, 0xc, 0xdc, 0xc4, 0xa0
