1737880438.2486315 CAN1, ID=0x605, DLC=1, 0x0, 0x0, 0x0, 0x0, 0x0, 0x0, 0x0, 0x0
1737880438.2495794 CAN1, ID=0x679, DLC=1, 0x0, 0x0, 0x0, 0x0, 0x0, 0x0, 0x0, 0x0
1737880438.2635355 CAN1, ID=0x607, DLC=1, 0x0, 0x0, 0x0, 0x0, 0x0, 0x0, 0x0, 0x0
1737880438.271515 CAN1, ID=0x603, DLC=1, 0x0, 0x0, 0x0, 0x0, 0x0, 0x0, 0x0, 0x0
1737880438.2914608 CAN1, ID=0x68c, DLC=1, 0x0, 0x0, 0x0, 0x0, 0x0, 0x0, 0x0, 0x0
1737880438.2984831 CAN1, ID=0x390, DLC=8, 0x4, 0x0, 0x0, 0x0, 0x0, 0x80, 0x21, 0xb
1737880438.2994545 CAN1, ID=0x393, DLC=8, 0x0, 0x10, 0x0, 0x0, 0x20, 0x0, 0x0, 0x2
1737880438.3004396 CAN1, ID=0x50b, DLC=7, 0x0, 0x0, 0x0, 0xc0, 0x0, 0x0, 0x0, 0x2
1737880438.3074179 CAN1, ID=0x1f2, DLC=8, 0x4, 0x64, 0x4, 0xa0, 0x0, 0x2, 0x2, 0x2
1737880438.308416 CAN1, ID=0x1d4, DLC=8, 0x6e, 0x6e, 0x0, 0x0, 0x82, 0x6, 0xe0, 0xc1
1737880438.313409 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x80, 0xaa, 0x80, 0x0, 0x3, 0xd1
1737880438.3174007 CAN1, ID=0x1f2, DLC=8, 0x4, 0x64, 0x4, 0xa0, 0x0, 0x4, 0x3, 0x5
1737880438.3183932 CAN1, ID=0x1d4, DLC=8, 0x6e, 0x6e, 0x0, 0x0, 0xc2, 0x6, 0xe0, 0x6
1737880438.3213875 CAN1, ID=0x54a, DLC=8, 0xa0, 0x80, 0x70, 0x2, 0x0, 0x0, 0x0, 0x2a
1737880438.3223805 CAN1, ID=0x481, DLC=2, 0x32, 0x0, 0x70, 0x2, 0x0, 0x0, 0x0, 0x2a
1737880438.3233767 CAN1, ID=0x54c, DLC=8, 0x59, 0xff, 0x0, 0x0, 0x0, 0xf8, 0xff, 0x0
1737880438.3243763 CAN1, ID=0x54f, DLC=8, 0x14, 0x0, 0x0, 0x0, 0x4, 0x40, 0xc0, 0x14
1737880438.326369 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x80, 0xaa, 0xc0, 0x0, 0x0, 0x1c
