1737879739.385972 CAN0, ID=0x1db, DLC=8, 0xff, 0x80, 0xad, 0x2b, 0x62, 0x0, 0x2, 0x5f
1737879739.3879666 CAN0, ID=0x1dc, DLC=8, 0x62, 0x0, 0x8f, 0xfd, 0x8, 0xc0, 0xc3, 0xca
1737879739.3912401 CAN0, ID=0x5bc, DLC=8, 0x32, 0x80, 0xe7, 0x14, 0xc8, 0x2, 0x40, 0x6
1737879739.3942313 CAN0, ID=0x55b, DLC=8, 0xf7, 0x0, 0x55, 0x0, 0xff, 0xc0, 0x12, 0x62
1737879739.4009445 CAN0, ID=0x1db, DLC=8, 0xff, 0x80, 0xac, 0xeb, 0x62, 0x0, 0x3, 0xa
1737879739.402307 CAN0, ID=0x1dc, DLC=8, 0x62, 0x0, 0x8f, 0xfd, 0xc, 0xdc, 0xc4, 0xb
1737879739.4035122 CAN0, ID=0x5bc, DLC=8, 0x32, 0x80, 0xe7, 0x14, 0xc8, 0x2, 0xa0, 0xb
1737879739.40402 CAN0, ID=0x59e, DLC=8, 0x0, 0x0, 0xc, 0x6, 0x50, 0x0, 0x0, 0x0
1737879739.406021 CAN0, ID=0x5c0, DLC=8, 0xc0, 0x52, 0x52, 0x0, 0x6e, 0xa8, 0x1, 0xf
1737879739.416027 CAN0, ID=0x1db, DLC=8, 0xff, 0x80, 0xac, 0xeb, 0x62, 0x0, 0x0, 0x0
1737879739.4169915 CAN0, ID=0x1dc, DLC=8, 0x62, 0x0, 0x8f, 0xfd, 0x1, 0x10, 0xe1, 0xd0
1737879739.4180274 CAN0, ID=0x5bc, DLC=8, 0x32, 0x80, 0xe7, 0x14, 0xc8, 0x3, 0x0, 0x14
1737879739.4259667 CAN0, ID=0x1db, DLC=8, 0xff, 0x80, 0xac, 0xeb, 0x62, 0x0, 0x1, 0x85
1737879739.4269655 CAN0, ID=0x1dc, DLC=8, 0x62, 0x0, 0x8f, 0xfd, 0x4, 0xc4, 0xc6, 0xa8
1737879739.4282372 CAN0, ID=0x5bc, DLC=8, 0x32, 0x80, 0xe7, 0x14, 0xc8, 0x0, 0x1f, 0xff
1737879739.4334755 CAN0, ID=0x1db, DLC=8, 0xff, 0x80, 0xac, 0xeb, 0x62, 0x0, 0x2, 0x8f
1737879739.4344733 CAN0, ID=0x1dc, DLC=8, 0x62, 0x0, 0x8f, 0xfd, 0x8, 0xc0, 0xc3, 0xca
1737879739.4354699 CAN0, ID=0x5bc, DLC=8, 0x32, 0x80, 0xe7, 0x14, 0xc8, 0x0, 0xa0, 0x6
1737879739.4434502 CAN0, ID=0x1db, DLC=8, 0xff, 0x80, 0xac, 0xeb, 0x62, 0x0, 0x3, 0xa
