1737879739.3775954 CAN137, ID=0xe8010000, DLC=1, 0x1a, 0x8, 0x1, 0x40, 0x4, 0xaa, 0x80, 0x0
1737879739.3809438 CAN1, ID=0x390, DLC=8, 0x4, 0x0, 0x0, 0x3, 0x0, 0x80, 0x0, 0xe9
1737879739.3815672 CAN1, ID=0x393, DLC=8, 0x0, 0x20, 0x0, 0x0, 0x20, 0x0, 0x0, 0x25
1737879739.3825703 CAN1, ID=0x1da, DLC=8, 0xac, 0x32, 0x18, 0x0, 0x0, 0x1, 0x1, 0xe0
1737879739.3869698 CAN1, ID=0x1f2, DLC=8, 0x14, 0x64, 0x0, 0xa8, 0x0, 0x1e, 0x0, 0x8a
1737879739.389605 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x4, 0xaa, 0xc0, 0x0, 0x0, 0xd5
1737879739.3922327 CAN1, ID=0x1d4, DLC=8, 0x0, 0x0, 0x0, 0x0, 0x7, 0x46, 0x21, 0x4d
1737879739.3952234 CAN1, ID=0x1da, DLC=8, 0xac, 0x32, 0x18, 0x0, 0x0, 0x1, 0x2, 0xea
1737879739.3969467 CAN1, ID=0x284, DLC=8, 0x0, 0x0, 0x0, 0x0, 0x0, 0x0, 0xf1, 0x77
1737879739.3979497 CAN1, ID=0x1f2, DLC=8, 0x14, 0x64, 0x0, 0xa8, 0x0, 0x1e, 0x1, 0x8b
1737879739.3989508 CAN1, ID=0x1d4, DLC=8, 0x0, 0x0, 0x0, 0x0, 0x47, 0x46, 0x21, 0x8a
1737879739.3999462 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x4, 0x55, 0x0, 0x0, 0x1, 0xc3
1737879739.4070199 CAN1, ID=0x1da, DLC=8, 0xac, 0x72, 0x18, 0x0, 0x0, 0x1, 0x3, 0xcd
1737879739.4080176 CAN1, ID=0x54a, DLC=8, 0xa0, 0x80, 0x70, 0x6, 0x2e, 0x0, 0x0, 0x2a
1737879739.4090111 CAN1, ID=0x54b, DLC=8, 0x10, 0x49, 0x90, 0x12, 0x1c, 0x0, 0x0, 0x0
1737879739.4100113 CAN1, ID=0x54c, DLC=8, 0x71, 0xff, 0x40, 0x0, 0x0, 0x68, 0x54, 0x0
1737879739.4110067 CAN1, ID=0x54f, DLC=8, 0x2f, 0x40, 0x0, 0x0, 0x4, 0xc0, 0xce, 0x1c
1737879739.4120088 CAN1, ID=0x481, DLC=2, 0x32, 0x0, 0x0, 0x0, 0x4, 0xc0, 0xce, 0x1c
1737879739.4130054 CAN1, ID=0x1f2, DLC=8, 0x10, 0x64, 0x0, 0xa8, 0x0, 0x1e, 0x2, 0x88
1737879739.4139996 CAN1, ID=0x1d4, DLC=8, 0x6e, 0x6e, 0x0, 0x0, 0x87, 0x46, 0x21, 0xcb
1737879739.4149976 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x4, 0x55, 0x40, 0x0, 0x2, 0xe
1737879739.4189863 CAN1, ID=0x1da, DLC=8, 0xac, 0x72, 0x18, 0x0, 0x0, 0x1, 0x0, 0xc7
1737879739.4199812 CAN1, ID=0x284, DLC=8, 0x0, 0x0, 0x0, 0x0, 0x0, 0x0, 0xf2, 0x78
1737879739.42098 CAN1, ID=0x1f2, DLC=8, 0x10, 0x64, 0x0, 0xa8, 0x0, 0x1e, 0x3, 0x89
1737879739.4219806 CAN1, ID=0x1d4, DLC=8, 0x6e, 0x6e, 0x0, 0x0, 0xc7, 0x46, 0x21, 0xc
1737879739.422975 CAN1, ID=0x56e, DLC=1, 0x46, 0x6e, 0x0, 0x0, 0xc7, 0x46, 0x21, 0xc
1737879739.4249713 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x4, 0xaa, 0x80, 0x0, 0x3, 0x18
1737879739.4292753 CAN1, ID=0x1da, DLC=8, 0xac, 0x32, 0x18, 0x0, 0x0, 0x1, 0x1, 0xe0
1737879739.431235 CAN1, ID=0x1f2, DLC=8, 0x10, 0x64, 0x0, 0xa8, 0x0, 0x1e, 0x0, 0x86
1737879739.431235 CAN1, ID=0x1d4, DLC=8, 0x6e, 0x6e, 0x0, 0x0, 0x7, 0x46, 0x21, 0xc0
1737879739.4324741 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x4, 0xaa, 0xc0, 0x0, 0x0, 0xd5
1737879739.4364696 CAN1, ID=0x1da, DLC=8, 0xac, 0x32, 0x18, 0x0, 0x0, 0x1, 0x2, 0xea
1737879739.4374666 CAN1, ID=0x55a, DLC=8, 0x13, 0x2d, 0x2f, 0x0, 0x5f, 0x0, 0x5b, 0x48
1737879739.4384637 CAN1, ID=0x284, DLC=8, 0x0, 0x0, 0x0, 0x0, 0x0, 0x0, 0xf3, 0x79
1737879739.4404602 CAN1, ID=0x1f2, DLC=8, 0x10, 0x64, 0x0, 0xa8, 0x0, 0x1e, 0x1, 0x87
1737879739.4414597 CAN1, ID=0x1d4, DLC=8, 0x6e, 0x6e, 0x0, 0x0, 0x47, 0x46, 0x21, 0x7
1737879739.4424527 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x4, 0x55, 0x0, 0x0, 0x1, 0xc3
1737879739.4464405 CAN1, ID=0x1da, DLC=8, 0xac, 0x72, 0x18, 0x0, 0x0, 0x1, 0x3, 0xcd
1737879739.4474385 CAN1, ID=0x1f2, DLC=8, 0x10, 0x64, 0x0, 0xa8, 0x0, 0x1e, 0x2, 0x88
1737879739.4484353 CAN1, ID=0x1d4, DLC=8, 0x6e, 0x6e, 0x0, 0x0, 0x87, 0x46, 0x21, 0xcb
1737879739.4494832 CAN1, ID=0x50b, DLC=7, 0x0, 0x0, 0x6, 0xc0, 0x0, 0x0, 0x0, 0xcb
